original_park,matched_park,similarity,final_match
roy wilkins recreation center,roy wilkins recreation center,1,roy wilkins recreation center
rufus king park,rufus king park,1,rufus king park
russell pedersen playground,russell pedersen playground,1,russell pedersen playground
russell sage playground,russell sage playground,1,russell sage playground
sachkerah woods playground,south rochdale playground,0.825384615,van cortlandt park
sara d. roosevelt park,sara d. roosevelt park,1,sara d. roosevelt park
saratoga park,saratoga park,1,saratoga park
sarsfield playground,sarsfield playground,1,sarsfield playground
schmul park,schmul park,1,schmul park
"schmul park 40.589434, -74.187249",schmul park,0.777777778,schmul park
seaside playground,seaside playground,1,seaside playground
seaside wildlife nature park,seaside wildlife nature park,1,seaside wildlife nature park
sedgwick playground,sedgwick playground,1,sedgwick playground
seguine mansion,genesis community garden,0.752777778,lemon creek park
seguine mansion- historical building,NA,NA,lemon creek park
seth low playground/ bealin square,seth low playground/ bealin square,1,seth low playground/ bealin square
seton falls park,seton falls park,1,seton falls park
seton park,seton park,1,seton park
sheepshead bay piers,sheepshead bay piers,1,sheepshead bay piers
sheepshead playground,sheepshead playground,1,sheepshead playground
sheltering arms playground,sheltering arms playground,1,sheltering arms playground
sheridan triangle,sheridan triangle,1,sheridan triangle
sherman creek,sherman creek,1,sherman creek
sherman park,sherman creek,0.867521368,sherman square
